family,scientific.name,life.form,status,number of records,vouchers
Pentaphylacaceae,Ternstroemia brasiliensis Cambess.,tree,no records found but cited in BF.2020,178,"Arzolla, F.A.R.D.P., 1095 (SPSF 38769, UEC 159954); Falkenberg, D.B., 2003 (FLOR 21501, ICN 103347, MBM 165205); Farney, C., 2700 (ASE 12880, RB 436381); Farney, C., 2834 (ASE 5794, RB 436402); Farney, C., 3376 (RB 435983, UEC 202586); Harley, R.M., 25257 (E 254946, NY 684855, US 3308965); Hatschbach, G., 44970 (MBM 77950, MO 100306198, RB 436391, UB 157696, USF 173719); Hatschbach, G., 71866 (MBM 255144, UPCB 44374); Jardim, J.G., 5142 (HUEFS 172537, RB 596133); Lambert, S.M., 28 (HUEFS 92990); Lima, H.C., 1678 (CVRD 1938, NY 1183495, RB 446101); Lorenzi, H., 202 (HPL 9182); Marquete, R., 2295 (RB 436397, RB 514436); Riedel, L. (no. ), s.n. (GOET 9963/ 760820 / 404221); Riedel, L., 1412 (US 11541); Riedel, L., 79 (NY 127675); Riedel, L., 79 (NY 127676); Riedel, s.n. (GOET 5439); Saint-Hilaire, A., s.n. (P 481626); Saint-Hilaire, A., s.n. (P 780900); Saint-Hilaire, A., s.n. (UM 14533)"
Picrodendraceae,Piranhea securinega Radcl.-Sm. & Ratter,tree,probable occurrence in the AF,10,"Castro, R.M., 1179 (HUEFS 96427); J.A.Ratter, P.E.Nogueira Silva, M.C.da Silva Junior, M.Haridasan, B.M.T.Walter, R6390 (E 326358); Jardim, J.G., 3425 (HUEFS 62371); Queiroz, L.P, 7505 (HUEFS 67950); Ratter, J.A., 3239 (UB 5626); Ratter, J.A., 6390 (NY 2796446); Ratter, J.A., R2639 (E 326357); Ratter, J.A., R3239 (E 326359); Ratter, J.A., s.n. (NY 1064909); Ratter, J.A., s.n. (NY 233099)"
Poaceae,Merostachys polyantha McClure,tree,no records found but cited in BF.2020,1,"Lima, 62-4122 (MO 244893)"
Poaceae,Rhipidocladum parviflorum (Trin.) McClure,tree,no records found but cited in BF.2020,51,"Riedel, L., 189 (G 168133, G 168134, G 168135); Riedel, L., 189 (MO 247348); Riedel, L., 189 (NY 345948); Riedel, L., 189 (US 2809009); Riedel, L., s.n. (G 143089/1); Riedel, L., s.n. (G 143089/2); Riedel, L., s.n. (G 143089/3)"
Poaceae,Rhipidocladum racemiflorum (Steud.) McClure,tree,no records found but cited in BF.2020,198,"Ghiesbreght, A.B., s.n. (G 143085/1); Ghiesbreght, s.n. (P 625409)"
Podocarpaceae,Podocarpus transiens var. harleyi (Pilg.) Silba,tree,probable occurrence in the AF,20,"Anderson, W.R., 36184 (K 552585, NY 498551); Dusen, P.K.H., 7502 (K 552583); Glaziou, A.F.M., 17779 (MO 699383); Harley, R.M., 19307 (E 127650, MO 698423, NY 498553); Harley, R.M., 22780 (CEPEC 32079, E 127649, IPA 51152, MO 698455, NY 498554, SPF 43605, UEC 42582); Harley, R.M., 26658 (CEPEC 45869, MO 3387763, NY 148814, SPF 74933); Harley, R.M., H52037 (HUEFS 50936, K 552588, SPF 91695); Hind, D.J.N., PCD4293 (K 553433); Irwin, H.S., 29015 (K 552584); Irwin, H.S., 32261 (K 552587, MO 698967, NY 498552, NY 498555, NY 498556); Irwin, H.S., 32840 (K 552586); Sellow, F., s.n. (B 101065820); Semdeterminador, 13682 (K 552568); Semdeterminador, 25768 (K 552884); Semdeterminador, 3895 (K 552580); Semdeterminador, 588 (K 552589); Semdeterminador, PCD3179 (K 552577); Semdeterminador, PCD3192 (K 552578); Semdeterminador, PCD5942 (K 552579); Stannard, B., H50828 (HUEFS 50935, K 553432, SPF 90078)"
Polygonaceae,Coccoloba cujabensis Wedd.,tree,probable occurrence in the AF,60,"Anonymous, 1241 (HUEFS 89717); Correa, R.M., 21 (CGMS 66347); da Silva Manso A.L.P., s.n. (BR 5287796); da Silva Manso A.L.P., s.n. (BR 5287826); Damasceno Jr, G.A., 917 (COR 4109); Elias, P.J., 1680 (IBGE 17823); Fiebrig, K., s.n. (G 48156/1); Fiebrig, K., s.n. (G 48156/2); Fiebrig, K., s.n. (G 48157/1); Fiebrig, K., s.n. (G 48157/2); Fiebrig, K., s.n. (G 48157/3); Hatschbach, G., s.n. (CTES 175973); Hatschbach, G., s.n. (SI 175973); Martii Herbar. Florae Brasil., 1241 (NY 323059); Martius, C.F.P., s.n. (B 100244503); Martius, C.F.P., s.n. (G 303783/1); Martius, K.F.P., 1241 (BM 603269); Martius, s.n. (P 734634); Melo, E., 4226 (HUEFS 105646); Melo, E., s.n. (P 868585); Nee, M.H., 39483 (MO 1535447); Padilha, D.R.C., 34 (CGMS 31569); Pott, A., 2057 (HUEFS 19542); Pott, A., 4960 (HUEFS 19536); Pott, A., 6960 (MBM 150531); Prance, G.T., 26673 (NY 878290); Anonymous, s.n. (B 4944); Silveira, M., s.n. (CGMS 39011); Silveira, N., 7291 (MBM 154424); Souza, H.M., s.n. (IAC 21440)"
Polygonaceae,Ruprechtia salicifolia (Cham. & Schltdl.) A.C.Meyer,tree,no records found but cited in BF.2020,30,"Burkart, A., 24147 (MO 3423760); Burkart, A.E., 29307 (MO 3423756); Burkart, A.E., s.n. (MO 3423806); Castellanos, A., s.n. (MO 3423774); Cocucci, A.E., 231 (MA 1-00801567); Herter, 4479 (RB 26902); Herter, W.G., 1079 (MO 3423704); Herter, W.G., 1079A (MO 3423728); Nicora, E.G., 3199 (MO 3423840); Rambo, B., 25650 (MO 3423741); Rambo, B., 26353 (US 1422061); Sellow F., s.n. (BR 5287970); Sellow F., s.n. (BR 5288007); Sellow, F., d-1013 (B 10 1001707); Sellow, F., s.n. (B 10 1001705); Sellow, F., s.n. (B 10 10017062); Sellow, F., s.n. (B 101001705); Sellow, F., s.n. (B 1010017062); Sellow, F., s.n. (B 101001707); Sellow, F., s.n. (E 160528); Sellow, F., s.n. (G 305709/1); Sellow, F., s.n. (G 437687); Sellow, F., s.n. (MO 3423720); Sellow, F., s.n. (NY 260322); Sellow, F., s.n. (WU 0065944); Sellow, s.n. (K 585129); Sellow, s.n. (K 585130); Sellow, s.n. (K 585131); Sellow, s.n. (K 585132); Troncoso, N.S., s.n. (SI 148852)"
Primulaceae,Cybianthus alpestris (Warm.) Mez,shrub,probable occurrence in the AF,12,"Barreto, H.L.M., 8575 (BHCB 71869, CESJ 40215, ESA 81318, MBM 276925); Henrique, M.C., s.n. (RB 492655); Joly, A.B., 1889 (MBM 58754, UEC 20954); Joly, A.B., CFSC4608 (SP 124941); Meguro, M., CFSC9371 (SPF 40532); Pirani, J.R., 5075 (MBM 277864, NY 994932, RB 492639, SPF 152825); Semir, J., 4768 (E 116446, UEC 11578); Semir, J., 4851 (NY 994877, UEC 11577); Semir, J., 5179 (MBM 58755, MBM 59272); Souza, V.C., 25198 (ESA 73449, RB 517590); Vidal, C.V., 1228 (RB 773978); Zappi, D.C., CFSC9879 (SPF 44433)"
Primulaceae,Cybianthus penduliflorus Mart.,shrub,probable occurrence in the AF,66,"Anderson, W.R., 10809 (MO 100688852, US 2937706); Ayala, F., 1623 (MO 100688011, US 3133617); Bonifacio Mostacedo C., 2511 (MO 934329); Falcao, C.T., 589 (HRB 6458); Graham, J.G., 5726 (MO 100694181); Haase, R., 572 (MO 1432053); Harley, R.M., 18190 (SPF 38577); Harley, R.M., 50713 (IPA 62215); Jose Schunke V., 5737 (MO 100688005); Jose Schunke V., 6268 (MO 100687198); Krukoff, B.A., 1448 (MO 100687349, US 1660046); Krukoff, B.A., 7034 (MO 100688858, US 8122, US W8122); Lima, V.C., 416 (IPA 49232); Martius, C.F.P(no. Obs. ), s.n. (MSB 164952/ 555668 / 234621); Martius, C.F.P(no. Obs. ), s.n. (MSB 164953/ 555669 / 234622); Martius, C.F.P., s.n. (M -164952); Martius, C.F.P., s.n. (M -164953); Poeppig, E. (no. ), s.n. (GOET 8161/ 759231 / 402639); Prance, G.T., 8281 (MG 039394, MO 100687795); Rene Guillen V., 3114 (MO 966237); Revilla, J., 1826 (F 392472F, MO 400577); Ribeiro, B.G., 1633 (MG 056324, MO 100688855); Spruce, R., 251 (NY 329160); Spruce, R., s.n. (B 4869); Vasquez, R., 10339 (MO 400027, US 3133616); Vasquez, R., 9461 (MO 399878, US 3140018)"
Proteaceae,Euplassa bahiensis (Meisn.) I.M.Johnst.,tree,probable occurrence in the AF,12,"Blanchet, J.S., 3456 (B 100250365); Blanchet, J.S., 3456 (BM 80816); Blanchet, J.S., 3456 (F 67879); Blanchet, J.S., 3456 (G 389575); Blanchet, J.S., 3456 (MO 1149496); Blanchet, J.S., 3456 (NY 579331); Blanchet, J.S., 3574 (F 67880); Blanchet, J.S., 3574 (G 389574, MO 1149490); Blanchet, J.S., s.n. (G 283029/1); Blanchet, J.S., s.n. (G 283036/1); Ganev, W., 456 (HUEFS 10899, NY 626380, SPF 88477); Ganev, W., 678 (HUEFS 11121, NY 626228, SPF 87732)"
Proteaceae,Roupala caparoensis Sleumer,tree,probable occurrence in the AF,1,"Ganev, W., 644 (HUEFS 11087)"
Quiinaceae,Quiina florida Tul.,tree,no records found but cited in BF.2020,241,"Cuatrecasas, J., 14879 (BC 638124, COL 39114, COL 79304, COL 79305, F 93875F, F 93878F, US 2220765); Klug, G., 228 (F 93881F, NY 63985, US 1455229); Klug, G., 710 (F 93877F, NY 63989, US 1455707); Klug, G., s.n. (G 286823/1); Klug, G., s.n. (G 286825/1); Krukoff, B.A. (no. ), s.n. (MSB 213132/ 634166 / 291271); Krukoff, B.A., 5521 (F 93882F, G 438064, K 974956, MO 1915574, NY 63991, NY 63992, S 13-15407, US 1664130); Krukoff, B.A., s.n. (G 286827/1); Pires, J.M., 3697 (US 2221201); Pires, J.M., 6629 (MO 1915588, NY 63978, UB 2042); Pires, J.M., s.n. (IAC 11424); Poeppig E.F., 2751 (BR 5293476); Poeppig E.F., 2751 (BR 5293803); Poeppig E.F., 2752 (BR 5297740); Poeppig, E., 2751 (G 438060); Poeppig, E., 2751 (G 438061); Poeppig, E., s.n. (G 286821/1); Poeppig, E., s.n. (G 286821/2); Poeppig, E.F. (no. ), s.n. (GOET 9729/ 760481 / 403882); Poeppig, E.F., 18 (BM 73161); Poeppig, E.F., 2751 (B 9759); Poeppig, E.F., 2751 (F 93968); Poeppig, E.F., 2752 (B 9763); Poeppig, E.F., 945 (BM 73160); Poeppig, E.F., s.n. (P 2441357); Poeppig, E.F., s.n. (P 71946); Poeppig, E.F., s.n. (UM 14406); Poeppig, s.n. (GOET 6877); Ule, E., 5027 (B 9760, G 438057, HBG 508755, RB 543050, RB 558496); Ule, E.H.G., s.n. (G 286805/1)"
Rhamnaceae,Colubrina cordifolia Reissek,tree,probable occurrence in the AF,73,"Andrade-Lima, 1074 (IPA 5296, IPA 5297); Blanchet J.S., 2832 (BR 5295692); Blanchet, 2832 (K 531872); Blanchet, J.S., 2832 (BM 838510); Blanchet, J.S., 2832 (F 68125); Blanchet, J.S., s.n. (P 1818894); Blanchet, J.S., s.n. (P 1818895); Blanchet, J.S., s.n. (P 1818896); Harley, R.M., 18956 (NY 533432, UEC 61205); Lima, D.P., 13130 (HST 4188, HUCPE 236, HUEFS 211755, RB 283157, SPF 240800); Luetzelburg, 26448 (IPA 22731, RB 324077); Martinelli, G., 17903 (ESA 135829, HUEFS 213475, MBM 398268, NY 2862386, RB 806913)"
Rosaceae,Prunus ulei Koehne,tree,probable occurrence in the AF,7,"Falkenberg, D.B., 2903 (FLOR 23224); Falkenberg, D.B., 6242 (CESJ 62349); Harley, R.M., 25495 (NY 656605); Anonymous, s.n. (MPUC 9346); Ule, E., 1687 (HBG 511060); Ule, E., 1687 (MO 3156329); Ule, E.H.G., 1687 (B 3325)"
Rubiaceae,Bertiera guianensis Aubl.,tree,probable occurrence in the AF,591,"Alcazar, E., s.n. (INB 2905968); Alonso, J.L.F., 7478 (MBM 236269); Araya, F., s.n. (INB 1599154); Aublet, J.B.C.F., s.n. (BM 1008867); Berg, C.C., s.n. (NY 949039); Bezerra, P., s.n. (EAC 460); Contreras, E., s.n. (TEX 00373111); Davidse, G., 18438 (MBM 74121); Ducke, A., s.n. (MG 008393); Fittkau, E.J., s.n. (INPA 12761); Gonzalez, A.F.R., s.n. (INB 4114408); Gonzalez, A.F.R., s.n. (INB 4114409); Gonzalez, A.F.R., s.n. (INB 4114410); H.S.Irwin, G.T.Prance, T.R.Soderstrom, s.n. (B 100248168); Irwin, H.S., 55299 (F 68503F, NY 130903, NY 130904, SP 81185, US 2443357); Irwin, H.S., G.T.Prance, T.R.Soderstrom, s.n. (G 284307/1); Maas, P.J.M., s.n. (NY 709686); Pittier, H., 5178 (MO 100230815); Pittier, H.F., 5178 (NY 130900, US 715376); Riedel, L., s.n. (MO 3093498); Riedel, L., s.n. (NY 949035); Roldan, F.J., 612 (MBM 165143); Anonymous, No-4-CPE-7 (COL 564513); Solomon, J.C., 16844 (MBM 127782); Solomon, J.C., 7595 (MBM 95628); Spruce R., 4109 (BR 5574988, NY 130905); Spruce, R., 4109 (BM 777528); Spruce, R., 4109 (K 6705); Spruce, R., 4109 (K 6706); Zaruma, J., s.n. (W 2014-0012337)"
Rubiaceae,Chomelia monantha (K.Schum. ex Standl.) Steyerm.,tree,no records found but cited in BF.2020,2,"Glaziou, A.F.M., 8749 (B 407); Glaziou, A.F.M., 8749 (F 68443F)"
Rubiaceae,Chomelia transiens Mull.Arg.,tree,no records found but cited in BF.2020,4,"Glaziou, A., s.n. (P 507167); Glaziou, A.F.M., 10940 (B 414); Glaziou, A.F.M., 10940 (G 74055); Glaziou, A.F.M., s.n. (G 107822/1)"
Rubiaceae,Chomelia vulpina Mull.Arg.,tree,no records found but cited in BF.2020,2,"Sellow, F., s.n. (B 405); Sellow, F., s.n. (F 68748)"
Rubiaceae,Faramea bracteata Benth.,tree,probable occurrence in the AF,48,"Burchell W.J., 9013 (BR 8603067); Burchell, 9013 (HUEFS 90746); Burchell, W.J., 9013 (F 69115); Burchell, W.J., 9013 (G 301023); Burchell, W.J., s.n. (G 228008/1); Cid Ferreira, C.A., 6504 (INPA 138138, K 1197140, MG 130589, MO 3115373, NY 397407, SPF 45226, US 3113169); Daly, D.C., 427 (INPA 116478, MG 088511, MO 3114930); Gardner, G., 3220 (BM 901257); Gardner, G., 3220 (F 69088F, G 301049); Gardner, G., s.n. (G 228585/1); Gardner, G., s.n. (P 836803); Grogan, J., 384 (INPA 207855, MG 162106); Klein, V.L.G., 3230 (NY 1067448, RB 347654, UFG 19526); Lorenzi, H., 6757 (HPL 11861); Nascimento, M.T., 40 (INPA 168835); Prance, G.T., 10573 (INPA 28905, MO 3114614, NY 397408, US 2868875, US 2881826); Prance, G.T., 59632 (MO 3115174, NY 1067449, UB 109990, US 2881849)"
Rubiaceae,Faramea porophylla (Vell.) Mull.Arg.,tree,no records found but cited in BF.2020,3,"Fiebrig, K., 217A (E 504466); Fiebrig, K.A.G. (no. a), s.n. (MSB 187483/ 603327 / 272975); Zardini, E.M., 55156 (MW 581933)"
Rubiaceae,Guettarda hypoglauca Standl.,tree,no records found but cited in BF.2020,1,"Glaziou, A.F.M., 14950 (F 69422)"
Rubiaceae,Ixora truncata Mull.Arg.,tree,probable occurrence in the AF,27,"Andrade Neto, M., s.n. (EAC 17653); Bezerra, P., 364 (EAC 425); Castro, A.S.F., 1640 (EAC 38569); Castro, A.S.F., 901 (EAC 30350); Cavalcanti, F.S., 538 (EAC 28453); Cavalcanti, F.S., 570 (EAC 28501); Cavalcanti, F.S., s.n. (EAC 28733); Costa, R.C., 435Probio (EAC 35009); Delprete, P.G., s.n. (EAC 27155); Delprete, P.G., s.n. (EAC 27156); Delprete, P.G., s.n. (EAC 27219); Fernandes, A., s.n. (EAC 27481); Fernandes, A., s.n. (EAC 27482); Fernandes, A., s.n. (EAC 27490); Fernandes, A., s.n. (EAC 2902); Fernandes, A., s.n. (EAC 2944); Fernandes, A., s.n. (EAC 3943); Fernandes, A., s.n. (EAC 5024); Glaziou, A.F.M., 10933 (F 69615); Glaziou, A.F.M., 10933 (G 74053); Glaziou, A.F.M., 10947 (F 69604); Goncalves, F., s.n. (EAC 54531); Lima-Verde, L.W., 2616 (EAC 54912); Loiola, M.I.B., 1913 (EAC 58140); Souza, E.B., 2938 (RB 614499); Souza, E.B., 2949 (EAC 55115); Souza, E.B., 3199 (EAC 57670)"
Rubiaceae,Retiniphyllum kuhlmannii Standl.,tree?,probable occurrence in the AF,17,"Alves, M., 1017 (UB 43961); Anderson, W.R., 36622 (NY 1017567, UB 155964); Buscalioni, L., 4260 (NY 1487469); Cid Ferreira, C.A., 12022-A (IBGE 58472); Ferreira, C.A.C., 8666 (INPA 153321, MO 3237084, NY 1090636); Francener, A., 1336 (RON 9737, SP 446667, UFMT 42238); Irwin, H.S., 16561 (NY 1005655, UB 43963, US 2598292); Kuhlmann, J.G., 2343-K (MO 100958450); Kuhlmann, J.G., 2343 (F 70821F, F 70822F); Kuhlmann, J.G., K-2343 (R 53526); Moura, E.O., 1927 (RB 1421604); Pires, J.M., 56820 (UB 43962); Sampaio, A.B., 477 (CEN 41979, MG 172155, UB 43960); Sasaki, D., 2426 (K 1137442, K 578804, MO 100230460, NX 1962, NY 1039578, RB 577849, SPF 206948); Scariot, A.O., 806 (CEN 52285); Simon, M.F., 2928 (CEN 95533); Zappi, D.C., 1137 (K 578046, MO 100261706, NX 2277, NY 1181484, SPF 207169)"
Rubiaceae,"Rudgea agresteophila Zappi, J.G. Jardim & Bruniera",tree,probable occurrence in the AF,1,"Senna, L.C., s.n. (CEPEC 107049)"
Rubiaceae,Rudgea panurensis Mull.Arg.,shrub?,probable occurrence in the AF,187,"Carrillo, L., 376 (K 275512); Clarke, H.D., 7197 (K 771054); Davila, N., s.n. (F 387344); Davila, N., s.n. (F 387345); Davila, N., s.n. (F 414386); Davila, N., s.n. (F 414390); Davila, N., s.n. (F 414393); Davila, N., s.n. (F 414400); Ellsworth Paine Killip, A.C.S., 29698 (BM 832002, F 93383F, NY 7280); Freire, B., 668 (K 275504); Killip, E.P., 29698 (US 1462978); Martius, C.F.P., s.n. (G 295356/1); Martius, C.F.P., s.n. (G 436662); Martius, C.F.P., s.n. (MSB 111002/ 32187 / 22981); Moya, G., 386 (K 275518); Paredes, M.A.R., s.n. (F 324239); Paredes, M.A.R., s.n. (F 324258); Paredes, M.A.R., s.n. (F 324297); Perez, A.J., Yandun, S., Endara, M.J., Diaz, C., s.n. (W 2014-0012273); Prance, G.T., s.n. (MG 40708); Reyes, D., 368 (K 275501); Spruce, R., 2711 (BM 832008); Spruce, R., 2711 (BR 5794546, G 436663, G 436664); Spruce, R., 2711 (F 71013); Spruce, R., 2711 (F 71014); Spruce, R., 2711 (F 71015); Spruce, R., 2711 (NY 133228); Spruce, R., s.n. (G 295357/1); Spruce, R., s.n. (G 295357/2); Trail, J.W.H., 424 (F 71028)"
Rutaceae,Esenbeckia almawillia Kaastra,tree,probable occurrence in the AF,53,"Abbott, J.R., 16049 (MO 1196081, SPF 100999); Abbott, J.R., 16107 (MO 1156000); Andrade-Lima, A.D., 541869 (SPF 116882); Araujo, F.S., 1276 (EAC 39097, SPF 113864); Carreira, L.M.M., 729 (INPA 138012, MG 090092); Cayola, L., 1830 (MO 2880143); Coelho, R., 515 (SPF 225033); Damasceno Jr, G.A., 2998 (SPF 159596); Dias, P., 281 (NY 1009378, RB 511669, SPF 178692, UB 177198); Ferreira, C.A.C., 3124 (INPA 98325, MO 3387135, NY 754722, RB 207949, US 2984901); Jardim, A., 596 (MO 939844, SPF 112943); Moura, E.O., 1743 (RB 1414641); Paniagua, N., 2006 (SPF 162286); Rosas Junior, A., 259 (MO 2813069); Salino, A., 4022 (ESA 65938, FUEL 27976, SPF 130323); Schatz, G.E., 814 (NY 921378, US 3119302); Ule, E., 9493 (K 380554); Ule, E., 9493 (MO 1390956)"
Rutaceae,Esenbeckia cowanii Kaastra,tree,probable occurrence in the AF,21,"Carreira, L.M.M., 729 (NY 979951); Cid, C.A., 3130 (RB 68906); Coelho, L.F., 789 (INPA 75817); Cowan, R.S., 38833 (F 71245F, NY 51857, US 2168712); Daly, D.C., 11643 (MO 2809515, NY 696488); Daly, D.C., 1765 (INPA 117245, MO 2808689, NY 1271642, US 3038380); Dias, P., 227 (F 449404F, INPA 281976, MG 230835, RB 683418, SPF 223800); Dias, P., 286 (INPA 240227, NY 1009379, RB 511668, SPF 178697); Dias, P., 289 (SPF 178698); Ferreira, C.A.C., 3130 (INPA 98331, MO 2809288, NY 754718); Filho, W.W., 20 (INPA 101392); Haidar, R.F., 1779 (CEN 95619); Labiak, P.H., 6191 (INPA 273108); Larpin, D., 828 (US 3205099); Marinho, L.R., 309 (NY 1271637); Mori, S.A., 17342 (NY 1271641); Rosas Junior, A., 259 (INPA 169923, NY 754727); Secco, R., 309 (MO 2808950, SP 321854, US 3119273); Silva, M.G., 2967 (MG 054611, NY 1271638, SPF 181371); Sperling, C.R., 5747 (NY 1271639, SPF 181372, US 3119286); Sperling, C.R., 5852 (MO 3388129, NY 1271640, SPF 181373, US 3119291)"
Rutaceae,Esenbeckia pumila Pohl,tree,probable occurrence in the AF,225,"Anderson, W.R., 9041 (NY 929090, UB 16796); Athaides, R.P., 10 (CEN 89365); Blanchet J.S., 2779 (BR 8710222); Blanchet J.S., 2779 (BR 8710239); Blanchet, 2779 (K 531252); Blanchet, J.S., 2779 (BM 798350); Blanchet, J.S., 2779 (G 87162, G 87163); Blanchet, J.S., 2779 (NY 51871); Blanchet, J.S., 2779 (NY 51872); Blanchet, J.S., s.n. (G 135742/3); Blanchet, J.S., s.n. (G 135742/4); Dias, P., 225 (RFA 36392, SPF 190777); Dias, P., 307 (NY 1009380, SPF 178711); Forzza, R.C., 452 (SPF 127300); Hatschbach, G., 67621 (INPA 200589, MBM 222918, SPF 130489); Heringer, E.P., 8734 (RB 113252); Irwin, H.S., 12459 (RB 251576, UB 119334, US 2824641); Lima, V.L.G.F., 52 (SPF 70072, SPF 84718); Luetzelburg, P., 1667 (RB 6006); Lutzelhung, 1667 (RB 370223); Martinelli, G., 16203 (RB 466703); Pohl J.B.E., s.n. (BR 5640904); Soares-Silva, L.H., 943 (UB 9915)"
Rutaceae,Hortia oreadica Groppo et al.,shrub,probable occurrence in the AF,92,"Duarte, A.P., 8216 (SPF 152750, UB 37365); Goodland, R.J.A., 318 (NY 929154, SPF 185112); Groppo, M., Groppo,-Jr-805 (MO 100447937); H.S.Irwin, R.Souza, 10624 (UB 106039, US 2842017); M. Groppo, Junior, 805 (K 381196, MBM 306635, NY 842098, NY 842099, RB 543887, SPF 149082); Pohl, J.B.E., 2727 (NY 884779); Pott, A., 9028 (CGMS 29151, CPAP 22878, SPF 198223)"
Rutaceae,Sigmatanthus trifoliatus Huber ex Emmerich,tree,probable occurrence in the AF,53,"Andrade Neto, M., s.n. (EAC 15207); Andrade, A., s.n. (EAC 30586); Araujo, F.S., s.n. (SPF 87143); Araujo, F.S., s.n. (UEC 96477); Ducke, A., 10362 (G 380807); Ducke, A., 10774 (G 380809); Ducke, A., 1101 (US 1441955, US 1442106); Ducke, A., s.n. (B 12479); Ducke, A., s.n. (EAC 1602); Ducke, A., s.n. (G 317176/1); Ducke, A., s.n. (G 317177/1); Ducke, A., s.n. (RB 14891); Ducke, A., s.n. (RB 14892); Fernandes, A., s.n. (EAC 15483); Fernandes, A., s.n. (EAC 15890); Fernandes, A., s.n. (EAC 2724); Fernandes, A., s.n. (EAC 3126); Fernandes, A., s.n. (EAC 8276); Fernandez, A., s.n. (INPA 188982); Goeldi, P.M., s.n. (MG 010362); Goeldi, P.M., s.n. (MG 10362); Huber, J., s.n. (MG 900297); Huber, J.E., 297 (G 380806, G 380808); Huber, J.E., s.n. (G 317178/1); Huber, J.E., s.n. (G 317178/2); Lima, F.Q., s.n. (MG 010774); Lima, F.Q., s.n. (MG 10774); Rosa, N.A., s.n. (MG 76663); Anonymous, s.n. (RB 14889); Anonymous, s.n. (RB 14890)"
Rutaceae,Zanthoxylum hamadryadicum Pirani,shrub,probable occurrence in the AF,26,"Andrade-Lima, 61-3596 (IPA 12419); Andrade-Lima, A.D., 613596 (SPF 70236); Araujo, F.S., 639 (EAC 22732); Araujo, F.S., 848 (EAC 22731); Araujo, F.S., s.n. (UEC 96476); Bautista, H.P., 847 (ALCB 15973, CEPEC 37243, HRB 14307, HUEFS 5364, IPA 48069, RB 238926); Carvalho-Sobrinho, J.G., 2045 (HVASF 3291, SPF 223058); Carvalho, G.H., 44 (HST 2727); Chiappeta, A., CFPE529 (SPF 84564); Chiappeta, A., IPA-42585 (IPA 42585); Ciencias, A.B., 335 (HUEFS 17526, SPF 84569); Conceicao, A.A., 1599 (HUEFS 104000, NY 1015386, SPF 176949); Conceicao, A.A., 2662 (HUEFS 131639); Emperaire, L., 386 (IPA 30493); Emperaire, L., 504 (IPA 29054); Emperaire, L., s.n. (RB 332128); Fernandes, A., s.n. (EAC 5157); Fotius, 3648 (IPA 43908, K 531127, MO 101067191, SP 269947, SPF 71169); Fotius, 3684 (NY 2173); Harley, R.M., 53455 (CEN 42341, HUEFS 37644, SPF 148020); Harley, R.M., 54107 (HUEFS 55854, SPF 154955); Heringer, E.P., 335 (IPA 19205); Lima, J.L.S., 4614 (HUEFS 191191); Moraes, M.V., 662 (HUEFS 83621); Oliveira, M., 4683 (HVASF 6933, SPF 223066); Salgado, O.A., 25 (RB 182766)"
Rutaceae,Zanthoxylum sprucei Engl.,tree,probable occurrence in the AF,128,"Cardenas, M., 1933 (MO 1438542, NY 67241, US 1185783); Rusby, H.H., 795 (MO 2136713, US 1185663); Spruce R., 4187 (BR 8710796, E 188493, F 41183F, MO 101067336, NY 67260); Spruce, R., 4187 (B 12461); Spruce, R., 4187 (BM 645367); Spruce, R., s.n. (P 2440923); Weberbauer, A., 4769 (MO 101067338); Weberbauer, A., s.n. (G 242749/1); White, O.E., 795 (NY 67239)"
Salicaceae,Casearia fasciculata (Ruiz & Pav.) Sleumer,tree,probable occurrence in the AF,65,"Gonzalez, M., 71 (COL 551651, HUA 179499); H. Ruiz L., s.n. (F 41355); H. Ruiz L., s.n. (F 41356); Luteyn, J.L., 8659 (MG 107077, MO 100969344); Palacios, W.A., 201 (MO 3137571); Palacios, W.A., 9453 (MO 256180); Pena, F.D., 145 (MO 258922); Plowman, T., 11393 (INPA 115995, MO 3137420); Poeppig, E.F., 2482 (F 41346F, F 41347F, F 41348F); Prance, G.T., 12074 (INPA 30391, NY 755962, US 2699767); Prance, G.T., 30240 (INPA 163102, MG 166502, NY 2149974); Romao, I.R., 4 (HUESB 12702); Schunke-Vigo, J., 4578 (INPA 115972); Ule, E., s.n. (MG 5507); Ule, E.H.G., 5566 (B 13680); Ule, E.H.G., 5566 (G 355991, HBG 515745, MG 005507); Ule, E.H.G., s.n. (G 262164/1); Vasquez, R., 15540 (MO 256334); Vasquez, R., 5011 (MO 256358); Woytkowski, F., 1362 (MO 3138896); Woytkowski, F., 34563 (MO 3151014)"
Salicaceae,Casearia mestrensis Sleumer,tree,probable occurrence in the AF,34,"Amorim, A.M., 9483 (RB 631117, RB 998891, UPCB 87679); Anderson, W.R., 36463 (B 100243765, BR 6913335, E 296668, HB 65340, K 1097602, MO 1919660, NY 107353, UB 11744); Anderson, W.R., 36769 (E 296669, MO 3127282, NY 375586, US 2821703); Anderson, W.R., 36774 (NY 375587, UB 11743, US 2752267); Cervi, A.C., 7434 (MO 3153305, NY 1034322); Cervi, A.C., R.Spichiger, P.-A.Loizeau, 7434 (G 27953); Martinelli, G., 18766 (IBGE 80137, RB 637565)"
